R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
1,Nikola Jokic,"PF,C",DEN,13,35.6,0.574(9.3/16.2),0.847(5.1/6.0),1.3,25,11.4,10.3,1.9,0.5,4.2,13.89
2,Karl-Anthony Towns ,C,MIN,4,33.2,0.460(7.3/15.8),0.960(6.0/6.3),1.5,22,12.5,4.3,0.5,2.8,2.5,12.42
3,Kevin Durant,"SF,PF",BRO,10,35,0.548(10.3/18.8),0.867(7.2/8.3),2.9,30.7,6.9,5.7,0.9,1,3.9,12.14
4,Bradley Beal,"SG,SF",WAS,10,36,0.494(12.1/24.5),0.874(8.3/9.5),2.4,34.9,5.3,5,1.4,0.7,3.3,10.99
5,James Harden,"PG,SG",BRO,9,36.6,0.442(7.6/17.1),0.880(7.3/8.3),3.1,25.6,5.9,10.8,1.2,0.8,4.7,10.95
6,Kyrie Irving ,PG,BRO,7,33,0.503(10.1/20.1),1.000(3.1/3.1),3.7,27.1,5.3,6.1,1.6,0.3,2.1,10.81
7,Joel Embiid ,"PF,C",PHI,11,31.4,0.536(8.2/15.3),0.845(7.5/8.8),1.2,25,11.5,2.9,1.4,1.5,3.2,10.8
8,Paul George,"SF,PF",LAC,13,34.7,0.510(8.1/15.9),0.924(4.6/5.0),4.1,24.8,6.2,5.1,1.2,0.5,3.8,9.92
9,Stephen Curry,"PG,SG",GSW,12,34.5,0.447(9.2/20.5),0.935(5.9/6.3),4.2,28.4,5.6,6.2,1.3,0.2,3.4,9.69
10,Damian Lillard,PG,POR,13,36.3,0.441(8.4/19.0),0.939(7.1/7.5),3.8,27.6,4.8,6.8,1,0.2,2.9,9.23
11,Kawhi Leonard,"SG,SF",LAC,12,34.1,0.491(8.8/18.0),0.876(4.8/5.4),1.9,24.3,5.1,5.9,1.8,0.7,1.8,8.76
12,Luka Doncic,"PG,SG",DAL,11,34.6,0.465(10.2/21.9),0.738(5.6/7.6),2.3,28.3,10.2,9.4,1.1,0.8,4.4,8.65
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
13,Myles Turner ,"PF,C",IND,12,31.7,0.470(4.6/9.8),0.749(2.0/2.7),1.3,12.4,6.8,1.1,1.5,4.1,1.3,8.27
14,Zach LaVine,"SG,SF",CHI,13,35.6,0.485(9.2/18.9),0.860(5.2/6.1),3.4,26.9,4.8,5.2,1.4,0.5,4.1,8.22
15,CJ McCollum ,"PG,SG",POR,13,33.9,0.473(9.5/20.0),0.844(2.9/3.5),4.9,26.7,3.9,5,1.3,0.3,1,8.2
16,Nikola Vucevic,C,ORL,13,31.4,0.511(9.2/18.1),0.786(1.7/2.2),2.7,22.8,10.8,3.8,1.4,0.4,1.4,8.13
